type,clients,kbytes
normal,1,8360
normal,2,12000
normal,4,8632
normal,8,12000
normal,16,9184
normal,32,12000
normal,64,10104
normal,128,12000
normal,256,11000
normal,512,11000
mrv,1,17000
mrv,2,27000
mrv,4,21000
mrv,8,27000
mrv,16,21000
mrv,32,27000
mrv,64,22000
mrv,128,27000
mrv,256,23000
mrv,512,28000
mrv-static,1,2667000
mrv-static,2,2667000
mrv-static,4,2667000
mrv-static,8,2667000
mrv-static,16,2667000
mrv-static,32,2667000
mrv-static,64,2667000
mrv-static,128,2667000
mrv-static,256,2667000
mrv-static,512,2667000
